Date,Close/Last,Volume,Open,High,Low
01/13/2023,58.68,4041164,58,58.775,57.79
01/12/2023,58.52,7305984,57.96,58.798,57.5
01/11/2023,57.58,8926294,57.31,57.89,57.02
01/10/2023,56.47,6611676,55.41,56.58,55.3
01/09/2023,55.28,6510932,55.04,56.19,54.82
01/06/2023,55.02,6100724,53.64,55.235,53.32
01/05/2023,52.91,4803038,52.02,52.98,51.52
01/04/2023,52.33,4527851,51.66,52.505,51.4
01/03/2023,51.04,3962601,50.6,51.15,50.31
12/30/2022,50.39,2700277,50.26,50.531,49.98
12/29/2022,50.65,2743492,50.07,50.8022,50
12/28/2022,49.99,3340288,51.17,51.35,49.905
12/27/2022,51.19,3094558,50.91,51.22,50.75
12/23/2022,50.86,2634437,50.2,50.9112,49.95
12/22/2022,50.17,3342660,50.16,50.25,49.145
12/21/2022,50.67,3840494,50.16,50.93,50.07
12/20/2022,49.66,4003416,49.35,50.005,49.35
12/19/2022,49.33,4674694,49.81,50.315,48.76
12/16/2022,49.8,8969096,49.22,49.97,48.88
12/15/2022,49.53,6190299,50.46,50.5615,49.36
12/14/2022,51.36,4064268,51.5,52.0477,50.97
12/13/2022,51.56,4884133,52.5,52.83,51.295
12/12/2022,51.11,5208241,50.32,51.13,49.84
12/09/2022,50.2,3807000,50.51,51.4,50.12
12/08/2022,50.56,3815898,51.18,51.43,50.31
12/07/2022,50.7,4248704,50.82,51.3393,50.255
12/06/2022,51.05,4373389,51.45,51.865,50.57
12/05/2022,51.25,5109972,51.46,51.94,50.99
12/02/2022,51.55,4858349,50.47,51.7,50.43
12/01/2022,51.07,4757348,51.25,51.5103,50.8
11/30/2022,50.97,7194164,50.52,50.97,49.3779
11/29/2022,50.65,4905048,50.25,50.825,49.88
11/28/2022,50.2,5658665,50.85,51.155,49.94
11/25/2022,51.56,1648145,51.5,51.82,51.42
11/23/2022,51.55,3354772,51.29,51.74,51.14
11/22/2022,51.57,4495575,50.99,51.78,50.87
11/21/2022,50.17,5719820,49.44,50.67,48.58
11/18/2022,50.07,3751561,50.49,50.52,49.36
11/17/2022,50.13,3620352,49.65,50.15,49.19
11/16/2022,50.51,4294851,51.15,51.22,50.215
11/15/2022,51.6,4445738,52.41,52.7,51.14
11/14/2022,51.95,5484386,52.47,52.895,51.86
11/11/2022,53.14,9009788,51,53.44,50.9
11/10/2022,49.96,6591988,49.45,50.02,49.12
11/09/2022,47.68,5089935,49.35,49.39,47.57
11/08/2022,49.65,4739656,49.89,50.35,49.45
11/07/2022,49.5,5848974,48.99,49.53,48.31
11/04/2022,49.03,10593270,48.27,49.88,48.13
11/03/2022,46.49,5122343,46.27,46.97,45.97
11/02/2022,46.93,7313946,46.86,48.62,46.775
11/01/2022,46.93,4892382,47.42,47.57,46.75
10/31/2022,46.74,6434024,47.48,47.8215,46.625
10/28/2022,47.48,6943166,47.2,47.77,46.81
10/27/2022,47.62,4524379,48.12,48.485,47.47
10/26/2022,47.99,6021020,48,48.55,47.89
10/25/2022,47.85,5202539,46.71,47.94,46.535
10/24/2022,47.04,5645709,46.89,47.31,46.33
10/21/2022,46.87,7483602,45.02,46.92,44.95
10/20/2022,44.93,9259900,45.39,47.63,44.9
10/19/2022,45.13,8371466,46.24,46.6,45.09
10/18/2022,46.38,8009127,46.28,46.94,45.375
10/17/2022,45.26,6195320,45.91,46.07,44.995
10/14/2022,45.12,5889170,46.29,46.4,44.735
10/13/2022,45.92,8304877,43,46.5,42.91
10/12/2022,43.81,4982535,43.94,44.2297,43.54
10/11/2022,43.95,5222747,44.28,44.79,43.42
10/10/2022,44.88,4686103,44.98,45.44,44.56
10/07/2022,44.41,5265099,45.05,45.44,44.2
10/06/2022,45.52,5430693,45.7,46.1,45.315
10/05/2022,46.06,5564652,45.92,46.44,45.51
10/04/2022,46.62,6959794,45.8,46.73,45.625
10/03/2022,45.28,6868743,44.94,45.74,44.45
09/30/2022,43.93,5869756,44.17,44.84,43.8
09/29/2022,44.16,4905664,44.5,44.69,43.49
09/28/2022,45.05,8315425,44.08,45.51,43.91
09/27/2022,43.79,5444885,43.94,44.17,43.2747
09/26/2022,43.39,5497614,43.52,44.26,43.16
09/23/2022,43.9,6729595,44,44.2,43.04
09/22/2022,44.77,4652927,45.28,45.55,44.75
09/21/2022,44.98,5819128,46.42,46.59,44.97
09/20/2022,46.09,4996045,45.95,46.28,45.37
09/19/2022,46.74,4900427,45.64,46.88,45.47
09/16/2022,46.42,10058990,46.01,46.8,45.41
09/15/2022,46.91,6535487,47.1,47.76,46.69
09/14/2022,47.07,11484350,47.61,47.87,46.38
09/13/2022,47.87,9104318,48.75,49.62,47.555
09/12/2022,50.93,5042809,51.29,51.79,50.8
09/09/2022,50.51,6265662,50.23,50.715,50.02
09/08/2022,49.4,5964055,48.49,49.51,47.95
09/07/2022,48.97,6517456,48.34,49.245,48.03
09/06/2022,48.59,8104844,49.9,50.08,48.34
09/02/2022,49.31,5125300,50.53,50.76,48.905
09/01/2022,49.96,6378525,50.46,50.49,49.14
08/31/2022,51,6069609,51.24,51.64,50.58
08/30/2022,51.38,7452178,52.83,52.96,51.26
08/29/2022,53.57,9304869,53,54.01,52.54
08/26/2022,54.46,5777736,55.98,56.37,54.26
08/25/2022,55.76,5736180,54.83,55.79,54.757
08/24/2022,54.24,6957246,55.5,55.64,54.08
08/23/2022,55.62,3894509,54.66,55.76,54.53
08/22/2022,54.41,6342710,54.49,54.6977,53.9
08/19/2022,55.49,3517928,55.68,55.92,55.15
08/18/2022,56.02,3561483,55.72,56.225,55.42
08/17/2022,55.46,4197959,55.52,55.91,55.01
08/16/2022,56.11,3925907,55.36,56.425,55.34
08/15/2022,55.34,5991740,55.48,55.5,54.86
08/12/2022,55.93,4389097,55.33,55.94,55.31
08/11/2022,55.26,5066165,54.76,55.72,54.76
08/10/2022,54.04,5998593,53.85,54.655,53.81
08/09/2022,52.72,4338954,52.15,52.85,52.11
08/08/2022,52.15,4511550,51.88,52.76,51.8
08/05/2022,51.49,5954500,50.77,51.77,50.73
08/04/2022,50.99,6963729,51.31,51.7,50.86
08/03/2022,51.49,5139265,52,52,51.3357
08/02/2022,51.55,5797806,52.3,52.67,51.54
08/01/2022,52.46,5913393,52.58,52.6,51.43
07/29/2022,53.21,9754287,52.76,53.795,52.47
07/28/2022,52.3,6137925,52.45,52.91,51.76
07/27/2022,52.24,4327987,51.44,52.4786,51.21
07/26/2022,51.3,4130858,51.17,51.8,50.95
07/25/2022,51.58,5933231,51.17,51.97,51.03
07/22/2022,50.85,5074833,51.5,51.81,50.44
07/21/2022,51.4,10059730,50.57,51.44,49.95
07/20/2022,52.55,5977727,52.45,52.67,51.81
07/19/2022,52.45,6999396,51.15,52.81,51.08
07/18/2022,50.47,4839000,50.42,51.05,50.2
07/15/2022,49.55,4810114,49.73,50.24,49.17
07/14/2022,48.9,4969513,48.74,49.07,48.27
07/13/2022,49.67,6071487,50,50.21,49.03
07/12/2022,50.42,6068243,50.89,51.565,50.25
07/11/2022,51.01,3919776,50.74,51.35,50.51
07/08/2022,51.38,4226891,52.43,52.88,51.305
07/07/2022,52.28,5507764,52.14,52.81,51.74
07/06/2022,51.18,5657033,50.62,51.25,50.035
07/05/2022,50.73,5892037,50.77,50.82,49.355
07/01/2022,51.69,5255114,50.91,52.04,49.9
06/30/2022,51.61,5847983,51.16,52.14,50.85
06/29/2022,51.98,4392792,52.71,53.01,51.28
06/28/2022,52.53,5169647,52.8,54.15,52.345
06/27/2022,52.22,7507333,52.9,53.3,51.97
06/24/2022,53.14,9108956,51.51,53.8,51.19
06/23/2022,51.06,9661964,52.25,52.6499,50.42
06/22/2022,52.34,10386780,52.3,52.79,51.57
06/21/2022,54.95,6391653,56.34,56.69,54.91
06/17/2022,54.77,12735780,55.16,55.96,53.97
06/16/2022,55.42,7641766,55.67,55.97,54.65
06/15/2022,57.41,6387882,59.02,59.66,56.765
06/14/2022,58.56,7128918,58.28,59.13,57.4601
06/13/2022,58.68,8509252,60.49,60.58,57.97
06/10/2022,61.87,6454897,65.01,65.08,61.86
06/09/2022,65.86,3113574,66.9,67.015,65.81
06/08/2022,67.24,3200919,67.06,67.81,66.85
06/07/2022,67.37,4874038,66.76,67.46,66.42
06/06/2022,67.07,3117322,67.04,67.61,66.67
06/03/2022,67.03,4966757,67.59,68.1599,66.68
06/02/2022,68.1,4605703,68.43,68.97,67.1
06/01/2022,68.11,5958108,68.65,69.788,67.995
05/31/2022,67.98,7876019,68.64,68.7504,67.615
05/27/2022,69.06,4784297,67.59,69.07,67.32
05/26/2022,67.84,5732847,67.17,68.29,66.91
05/25/2022,67.3,6265070,66.71,67.68,66.4
05/24/2022,67.07,4664360,67.2,67.39,65.47
05/23/2022,67.49,6582289,67.8,68.13,66.84
05/20/2022,68.11,5232192,68.88,69.73,66.87
05/19/2022,68.76,4988376,68.31,69.57,67.8
05/18/2022,68.91,4623909,69.41,70.38,68.495
05/17/2022,69.97,4502627,69.61,70.2914,68.9
05/16/2022,67.98,4028344,67.31,68.5955,66.68
05/13/2022,67.56,3924502,67.5,68.32,67.26
05/12/2022,67.04,6035696,66.53,67.39,65.665
05/11/2022,66.79,5683317,66.4,68.5,65.82
05/10/2022,65.81,7885807,67.43,67.85,65.28
05/09/2022,66.63,7266931,66.84,67.81,66.47
05/06/2022,67.93,5807753,68.07,68.37,66.65
05/05/2022,68.47,6530571,70.26,70.36,67.53
05/04/2022,70.61,5589753,68.82,70.78,68.43
05/03/2022,68.15,4599474,67.12,68.33,67.06
05/02/2022,67.06,7250151,67.15,67.31,65.81
04/29/2022,66.5,6499774,68.12,68.715,66.31
04/28/2022,67.81,5533819,68.04,68.04,66.11
04/27/2022,67.45,5412343,68.12,68.33,67.051
04/26/2022,67.37,6612794,68.24,68.98,67.35
04/25/2022,68.07,7252142,67.41,68.34,65.53
04/22/2022,68.5,7439380,70.07,71.23,68.24
04/21/2022,69.51,10282450,69,71.86,68.89
04/20/2022,67.54,5021474,67.07,68.17,67.04
04/19/2022,67.05,5292467,66.03,67.35,65.91
04/18/2022,65.88,4959149,65.49,66.48,65.3
04/14/2022,65.49,7000362,64.49,66,64.39
04/13/2022,64.16,3465594,63.49,64.23,63.22
04/12/2022,63.26,4137275,62.51,63.75,62.29
04/11/2022,61.95,2760390,61.35,62.62,61.15
04/08/2022,61.68,3913900,61.77,62.28,61.32
04/07/2022,61.25,4644847,61.8,61.8,60.03
04/06/2022,61.67,4977031,63.21,63.29,61.29
04/05/2022,63.49,3432473,64,64.64,63.41
04/04/2022,64.01,3650011,64.51,64.51,63.32
04/01/2022,64.18,3317188,64.29,64.93,63.44
03/31/2022,63.72,4302089,64.15,64.785,63.71
03/30/2022,64.26,3145899,64.48,64.94,64.03
03/29/2022,64.19,4225668,63.95,64.32,62.82
03/28/2022,64.11,3879358,64.3,64.55,63.04
03/25/2022,64.7,3963533,64.09,64.73,63.84
03/24/2022,64.09,3611574,63.76,64.2,63.41
03/23/2022,63.3,2936341,63.4,63.84,63.0201
03/22/2022,63.55,5136726,64,64.53,63.24
03/21/2022,63.34,4836460,63.12,63.72,62.53
03/18/2022,62.39,9510933,62.23,63.43,61.805
03/17/2022,62.84,9420575,59.38,62.88,59.14
03/16/2022,59.64,6154914,59.16,60.15,58.72
03/15/2022,58.87,8354434,59.87,60.265,57.62
03/14/2022,60.28,5836192,61.37,62.03,59.77
03/11/2022,60.91,6140222,61.06,62.49,60.87
03/10/2022,60.63,5420965,59.24,61.04,59.23
03/09/2022,59.8,7484736,59.25,60.9,58.94
03/08/2022,57.84,6583613,58.11,59.22,57.62
03/07/2022,57.98,6987756,58.75,59.11,57.645
03/04/2022,58.83,5870803,58.4,58.875,57.83
03/03/2022,59.67,4514837,59.29,59.94,58.7401
03/02/2022,59.2,6499750,57.55,59.79,57.51
03/01/2022,57.13,7668079,59.12,59.305,56.27
